lib	scope	class	typemark	name	category	3.0	3.1	3.2	3.3	3.4	4.0	4.1	pattern	first_present
rubygems/spec_fetcher	stdlib	Gem::SpecFetcher	#	cache_dir	no-method	X	X	X	X	X	X	X	all	3.0
rubygems/spec_fetcher	stdlib	Gem::SpecFetcher	#	dir	no-method	X	X	X	X	X	X	X	all	3.0
rubygems/spec_fetcher	stdlib	Gem::SpecFetcher	#	fetch	no-method	X	X	X	X	X	X	X	all	3.0
rubygems/spec_fetcher	stdlib	Gem::SpecFetcher	#	fetch_spec	no-method	X	X	X	X	X	X	X	all	3.0
rubygems/spec_fetcher	stdlib	Gem::SpecFetcher	#	find_matching	no-method	X	X	X	X	X	X	X	all	3.0
rubygems/spec_fetcher	stdlib	Gem::SpecFetcher	#	legacy_repos	no-method	X	X	X	X	X	X	X	all	3.0
rubygems/spec_fetcher	stdlib	Gem::SpecFetcher	#	list	no-method	X	X	X	X	X	X	X	all	3.0
rubygems/spec_fetcher	stdlib	Gem::SpecFetcher	#	load_specs	no-method	X	X	X	X	X	X	X	all	3.0
rubygems/spec_fetcher	stdlib	Gem::SpecFetcher	#	warn_legacy	no-method	X	X	X	X	X	X	X	all	3.0
rubygems/validator	stdlib	Gem::Validator	#	remove_leading_dot_dir	no-method	X	X	X	X	X	X	X	all	3.0
rubygems/validator	stdlib	Gem::Validator	#	unit_test	no-method	X	X	X	X	X	X	X	all	3.0
rubygems/validator	stdlib	Gem::Validator	#	verify_gem	no-method	X	X	X	X	X	X	X	all	3.0
rubygems/validator	stdlib	Gem::Validator	#	verify_gem_file	no-method	X	X	X	X	X	X	X	all	3.0
singleton	stdlib	Singleton	.	instance	no-method	X	X	X	X	X	X	X	all	3.0
socket	stdlib	SOCKSSocket	#	close	no-class	X	X	X	X	X	X	X	all	3.0
socket	stdlib	SOCKSSocket	.	new	no-class	X	X	X	X	X	X	X	all	3.0
socket	stdlib	SOCKSSocket	.	open	no-class	X	X	X	X	X	X	X	all	3.0
socket	stdlib	Socket	.	gethostbyaddr	no-method	o	o	o	o	o	o	X	new-only	3.0
