bucket	lib	class	type	name	3.03.13.23.33.44.0
always-ng	rss	DublinCoreModel	#	dc_identifiers	CCCCCC
always-ng	rss	DublinCoreModel	#	dc_language	CCCCCC
always-ng	rss	DublinCoreModel	#	dc_language=	CCCCCC
always-ng	rss	DublinCoreModel	#	dc_languages	CCCCCC
always-ng	rss	DublinCoreModel	#	dc_publisher	CCCCCC
always-ng	rss	DublinCoreModel	#	dc_publisher=	CCCCCC
always-ng	rss	DublinCoreModel	#	dc_publishers	CCCCCC
always-ng	rss	DublinCoreModel	#	dc_relation	CCCCCC
always-ng	rss	DublinCoreModel	#	dc_relation=	CCCCCC
always-ng	rss	DublinCoreModel	#	dc_relations	CCCCCC
always-ng	rss	DublinCoreModel	#	dc_rights	CCCCCC
always-ng	rss	DublinCoreModel	#	dc_rights=	CCCCCC
always-ng	rss	DublinCoreModel	#	dc_rightses	CCCCCC
always-ng	rss	DublinCoreModel	#	dc_source	CCCCCC
always-ng	rss	DublinCoreModel	#	dc_source=	CCCCCC
always-ng	rss	DublinCoreModel	#	dc_sources	CCCCCC
always-ng	rss	DublinCoreModel	#	dc_subject	CCCCCC
always-ng	rss	DublinCoreModel	#	dc_subject=	CCCCCC
always-ng	rss	DublinCoreModel	#	dc_subjects	CCCCCC
always-ng	rss	DublinCoreModel	#	dc_title	CCCCCC
always-ng	rss	DublinCoreModel	#	dc_title=	CCCCCC
always-ng	rss	DublinCoreModel	#	dc_titles	CCCCCC
always-ng	rss	DublinCoreModel	#	dc_type	CCCCCC
always-ng	rss	DublinCoreModel	#	dc_type=	CCCCCC
always-ng	rss	DublinCoreModel	#	dc_types	CCCCCC
always-ng	rss	RSS::BaseTrackBackModel	#	trackback_about	XXXXXX
always-ng	rss	RSS::BaseTrackBackModel	#	trackback_about=	XXXXXX
always-ng	rss	RSS::BaseTrackBackModel	#	trackback_abouts	XXXXXX
always-ng	rss	RSS::BaseTrackBackModel	#	trackback_ping	XXXXXX
always-ng	rss	RSS::BaseTrackBackModel	#	trackback_ping=	XXXXXX
always-ng	rss	RSS::ContentModel	#	content_encoded	XXXXXX
always-ng	rss	RSS::ContentModel	#	content_encoded=	XXXXXX
always-ng	rss	RSS::ImageFaviconModel	#	image_favicon	XXXXXX
always-ng	rss	RSS::ImageFaviconModel	#	image_favicon=	XXXXXX
always-ng	rss	RSS::ImageItemModel	#	image_item	XXXXXX
always-ng	rss	RSS::ImageItemModel	#	image_item=	XXXXXX
always-ng	rss	RSS::RDF	#	rss_version=	XXXXXX
always-ng	rss	RSS::RDF::Channel::ImageFavicon	#	about	CCCCCC
always-ng	rss	RSS::RDF::Channel::ImageFavicon	#	about=	CCCCCC
always-ng	rss	RSS::RDF::Channel::ImageFavicon	#	date	CCCCCC
always-ng	rss	RSS::RDF::Channel::ImageFavicon	#	date=	CCCCCC
always-ng	rss	RSS::RDF::Channel::ImageFavicon	#	image_size	CCCCCC
always-ng	rss	RSS::RDF::Channel::ImageFavicon	#	image_size=	CCCCCC
always-ng	rss	RSS::RDF::Channel::ImageFavicon	#	size	CCCCCC
always-ng	rss	RSS::RDF::Channel::ImageFavicon	#	size=	CCCCCC
always-ng	rss	RSS::Rss::SkipDays	#	day	CCCCCC
always-ng	rss	RSS::Rss::SkipDays	#	day=	CCCCCC
always-ng	rss	RSS::Rss::SkipDays	#	days	CCCCCC
always-ng	rss	RSS::Rss::SkipHours	#	hour	CCCCCC
always-ng	rss	RSS::Rss::SkipHours	#	hour=	CCCCCC
always-ng	rss	RSS::Rss::SkipHours	#	hours	CCCCCC
always-ng	rss	RSS::SyndicationModel	#	sy_updateBase	XXXXXX
always-ng	rss	RSS::SyndicationModel	#	sy_updateBase=	XXXXXX
